school,conference,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,median,mean,year
UConn,Big East,23.0,21.0,17.0,18.0,22.0,,,,,25.0,19.0,17.0,23.0,24.0,20.0,19.0,20.0,21.0,20.5,20.633333333333333,2022
UNC,ACC,20.0,,,,,,,,,,,,,,,,,,20.0,20.0,2022
USC,Pac-12,,25.0,18.0,15.0,9.0,9.0,9.0,8.0,7.0,15.0,15.0,19.0,21.0,17.0,16.0,16.0,21.0,22.0,16.0,15.444444444444445,2022
Villanova,Big East,4.0,7.0,6.0,6.0,10.0,22.0,22.0,15.0,14.0,11.0,12.0,12.0,15.0,10.0,8.0,11.0,8.0,5.0,10.5,10.973684210526315,2022
Virginia,ACC,25.0,,,,,,,,,,,,,,,,,,25.0,25.0,2022
Virginia Tech,ACC,,,,,,,,,,,,,,,,,,24.0,24.0,24.0,2022
Wake Forest,ACC,,,,,,,,,,,,,25.0,,,,,,25.0,25.0,2022
Wisconsin,Big Ten,,,21.0,17.0,,24.0,23.0,23.0,13.0,8.0,11.0,11.0,14.0,16.0,12.0,10.0,12.0,14.0,14.0,15.1875,2022
Wyoming,MWC,,,,,,,,,,,,,,22.0,,,,,22.0,22.0,2022
Xavier,Big East,,,,,25.0,20.0,24.0,24.0,21.0,20.0,23.0,23.0,,,,,,,23.0,22.555555555555557,2022
