school,conference,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,median,mean,year
Arizona,Pac-12,17.0,14.0,14.0,14.0,14.0,17.0,24.0,24.0,24.0,,21.0,,23.0,,21.0,24.0,,,,21.0,19.428571428571427,2020
Auburn,SEC,23.0,18.0,17.0,17.0,10.0,9.0,8.0,7.0,5.0,4.0,16.0,16.0,10.0,11.0,12.0,15.0,15.0,17.0,20.0,15.0,13.25,2020
BYU,WCC,,,,,,,,,,,,,,,,18.0,15.0,16.0,16.0,16.0,16.2,2020
Baylor,Big 12,18.0,23.0,18.0,18.0,11.0,11.0,6.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,4.0,4.0,7.0,2020
Butler,Big East,,,,,19.0,16.0,11.0,10.0,6.0,5.0,12.0,17.0,19.0,20.0,23.0,,25.0,21.0,21.0,18.0,16.2,2020
Colorado,Pac-12,,25.0,24.0,24.0,23.0,,,,,21.0,,21.0,24.0,15.0,17.0,20.0,,,,22.0,21.454545454545453,2020
Creighton,Big East,,,,,,,,,,,,,22.0,21.0,15.0,11.0,14.0,9.0,9.0,14.0,14.375,2020
Dayton,A-10,,,,,12.0,12.0,18.0,18.0,15.0,11.0,7.0,7.0,6.0,6.0,5.0,3.0,3.0,3.0,3.0,7.0,8.5,2020
Duke,ACC,4.0,1.0,1.0,1.0,5.0,3.0,3.0,2.0,2.0,3.0,8.0,8.0,7.0,7.0,6.0,7.0,11.0,10.0,8.0,5.0,5.1,2020
Florida,SEC,6.0,,25.0,25.0,,,,,,,,,,,,,,,,25.0,20.25,2020
Florida State,ACC,,,,,21.0,19.0,17.0,20.0,10.0,9.0,6.0,6.0,8.0,8.0,8.0,6.0,8.0,4.0,5.0,8.0,10.1875,2020
Gonzaga,WCC,7.0,8.0,7.0,7.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,3.1,2020
Houston,AAC,,,,,,,,,,,24.0,20.0,25.0,19.0,22.0,,21.0,24.0,23.0,22.5,22.27777777777778,2020
Illinois,Big Ten,,,,,,,,,,,22.0,19.0,21.0,23.0,,,22.0,22.0,22.0,22.0,21.625,2020
Iowa,Big Ten,,,,,,,,25.0,,24.0,19.0,18.0,17.0,17.0,20.0,17.0,18.0,25.0,25.0,19.0,20.333333333333332,2020
Kansas,Big 12,3.0,5.0,5.0,5.0,3.0,1.0,5.0,3.0,3.0,7.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.1,2020
Kentucky,SEC,2.0,10.0,11.0,11.0,9.0,6.0,19.0,14.0,13.0,12.0,14.0,13.0,16.0,12.0,10.0,9.0,6.0,7.0,7.0,11.0,10.6,2020
LSU,SEC,24.0,,,,,,,,,,,24.0,18.0,,,,,,,24.0,22.5,2020
Louisville,ACC,5.0,2.0,2.0,2.0,1.0,5.0,4.0,8.0,11.0,10.0,5.0,5.0,5.0,5.0,11.0,10.0,10.0,14.0,13.0,5.0,6.65,2020
Marquette,Big East,,,,,,,,,,,,,,22.0,19.0,,,,,20.5,20.5,2020
Maryland,Big Ten,8.0,7.0,8.0,8.0,4.0,8.0,12.0,15.0,14.0,17.0,17.0,15.0,9.0,9.0,7.0,8.0,9.0,11.0,11.0,9.0,10.3,2020
Memphis,AAC,15.0,20.0,20.0,20.0,17.0,13.0,10.0,11.0,22.0,22.0,20.0,,,,,,,,,20.0,17.5,2020
Michigan,Big Ten,,,,,7.0,15.0,15.0,13.0,19.0,20.0,,,,,,22.0,,,,15.0,15.75,2020
Michigan State,Big Ten,1.0,3.0,3.0,3.0,15.0,18.0,16.0,16.0,8.0,14.0,9.0,14.0,14.0,25.0,25.0,24.0,17.0,12.0,12.0,14.0,13.15,2020
Ohio State,Big Ten,16.0,9.0,9.0,9.0,2.0,4.0,2.0,5.0,12.0,19.0,,,,,24.0,23.0,19.0,20.0,18.0,12.0,12.6875,2020
Oregon,Pac-12,14.0,11.0,10.0,10.0,13.0,10.0,7.0,6.0,9.0,8.0,13.0,12.0,15.0,18.0,16.0,16.0,13.0,13.0,14.0,13.0,12.05,2020
Penn State,Big Ten,,,,,,24.0,21.0,21.0,20.0,,,23.0,20.0,13.0,9.0,14.0,20.0,,,20.0,18.636363636363637,2020
Purdue,Big Ten,22.0,,,,,,,,,,,,,,,,,,,22.0,22.0,2020
Rutgers,Big Ten,,,,,,,,,,,25.0,25.0,,,,,,,,25.0,25.0,2020
Saint Mary's,WCC,20.0,,,,,,,,,,,,,,,,,,,20.0,20.0,2020
San Diego State,MWC,,,,,24.0,20.0,14.0,12.0,7.0,6.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,8.1875,2020
Seton Hall,Big East,13.0,13.0,13.0,13.0,22.0,,,,25.0,18.0,10.0,9.0,13.0,10.0,14.0,13.0,7.0,15.0,15.0,13.0,13.882352941176471,2020
Stanford,Pac-12,,,,,,,,,,25.0,,,,,,,,,,25.0,25.0,2020
Tennessee,SEC,25.0,17.0,16.0,16.0,17.0,21.0,,,,,,,,,,,,,,17.0,18.428571428571427,2020
Texas,Big 12,,22.0,,,,,,,,,,,,,,,,,,22.0,22.0,2020
Texas Tech,Big 12,12.0,12.0,12.0,12.0,,25.0,22.0,22.0,21.0,23.0,18.0,,,24.0,,21.0,,,,21.0,18.846153846153847,2020
UNC,ACC,11.0,4.0,4.0,4.0,16.0,23.0,,,,,,,,,,,,,,7.5,9.928571428571429,2020
Utah State,MWC,19.0,16.0,15.0,15.0,,,,,,,,,,,,,,,,15.5,16.1,2020
VCU,A-10,,19.0,19.0,19.0,,25.0,,,,,,,,,,,,,,19.0,20.2,2020
Villanova,Big East,10.0,15.0,21.0,21.0,20.0,14.0,9.0,9.0,16.0,15.0,11.0,10.0,12.0,16.0,13.0,12.0,12.0,8.0,9.0,12.0,13.25,2020
Virginia,ACC,9.0,6.0,6.0,6.0,8.0,7.0,13.0,19.0,18.0,,,,,,,,22.0,18.0,17.0,11.0,12.307692307692308,2020
Washington,Pac-12,,24.0,22.0,22.0,25.0,22.0,20.0,,,,,,,,,,,,,22.0,22.428571428571427,2020
West Virginia,Big 12,,,,,,,23.0,17.0,17.0,13.0,15.0,11.0,11.0,14.0,18.0,19.0,,23.0,24.0,17.0,17.076923076923077,2020
Wichita State,AAC,,,,,,,25.0,23.0,23.0,16.0,22.0,22.0,,,,,,,,22.5,21.928571428571427,2020
Wisconsin,Big Ten,,,,,,,,,,,,,,,,,24.0,19.0,19.0,19.0,20.25,2020
Xavier,Big East,21.0,21.0,23.0,23.0,,,,,,,,,,,,,,,,22.0,22.0,2020
