school,conference,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,median,mean,year
Alabama,SEC,25.0,,,,,,,,,,,,,,,,,,25.0,25.0,2018
Arizona,Pac-12,5.0,4.0,,,23.0,19.0,18.0,16.0,21.0,17.0,12.0,9.0,13.0,19.0,14.0,22.0,17.0,,17.0,15.375,2018
Arizona State,Pac-12,,,21.0,17.0,6.0,4.0,4.0,6.0,11.0,14.0,20.0,23.0,,22.0,25.0,,,,15.5,14.5,2018
Arkansas,SEC,,,,,,,,23.0,,,,,,,,,,,23.0,23.0,2018
Auburn,SEC,,,,,,,,,24.0,20.0,19.0,13.0,9.0,11.0,13.0,15.0,15.0,23.0,15.0,16.09090909090909,2018
Baylor,Big 12,24.0,24.0,16.0,22.0,21.0,18.0,17.0,,,,,,,,,,,,21.0,20.375,2018
Cincinnati,AAC,13.0,13.0,9.0,17.0,,23.0,22.0,20.0,13.0,11.0,8.0,8.0,6.0,5.0,11.0,10.0,8.0,12.0,11.0,12.222222222222221,2018
Clemson,ACC,,,,,,,,25.0,17.0,18.0,17.0,20.0,15.0,12.0,17.0,18.0,20.0,15.0,17.0,17.583333333333332,2018
Creighton,Big East,,,23.0,,25.0,24.0,23.0,24.0,22.0,,,,,25.0,,24.0,,,24.0,23.77777777777778,2018
Duke,ACC,1.0,1.0,1.0,1.0,4.0,3.0,3.0,2.0,6.0,5.0,4.0,5.0,8.0,10.0,5.0,3.0,4.0,4.0,4.0,3.8947368421052633,2018
Florida,SEC,7.0,7.0,6.0,5.0,22.0,,,,,,22.0,24.0,,,,,23.0,,14.5,14.5,2018
Florida State,ACC,,,,,19.0,25.0,25.0,,,,,,,,,,,18.0,22.0,21.8,2018
Gonzaga,WCC,19.0,17.0,14.0,13.0,13.0,15.0,19.0,19.0,14.0,13.0,15.0,12.0,11.0,8.0,6.0,7.0,6.0,10.0,13.0,12.842105263157896,2018
Houston,AAC,,,,,,,,,,,,,,,23.0,,21.0,22.0,22.0,22.0,2018
Kansas,Big 12,3.0,2.0,2.0,2.0,12.0,13.0,11.0,10.0,12.0,10.0,5.0,7.0,10.0,13.0,8.0,6.0,9.0,3.0,8.5,7.7105263157894735,2018
Kansas State,Big 12,,,,,,,,,,,,,,,,,,19.0,19.0,19.0,2018
Kentucky,SEC,4.0,8.0,7.0,7.0,5.0,6.0,15.0,14.0,20.0,16.0,,22.0,24.0,,,25.0,,17.0,14.5,13.633333333333333,2018
