Louisville,ACC,16.0,18.0,17.0,,,,,,,,,,,,,,,,17.0,17.0,2018
Loyola (IL),MVC,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,2018
Miami (FL),ACC,12.0,11.0,13.0,11.0,8.0,7.0,16.0,17.0,19.0,23.0,24.0,,25.0,,,,25.0,,16.0,16.214285714285715,2018
Michigan,Big Ten,,,,,,,,,,24.0,25.0,25.0,20.0,21.0,16.0,13.0,7.0,2.0,20.0,17.3,2018
Michigan State,Big Ten,2.0,5.0,3.0,3.0,2.0,2.0,2.0,1.0,4.0,9.0,6.0,4.0,4.0,1.0,1.0,2.0,5.0,11.0,3.0,3.6842105263157894,2018
Middle Tennessee,CUSA,,,,,,,,,,,,,,,24.0,23.0,,,23.5,23.5,2018
Minnesota,Big Ten,15.0,15.0,12.0,15.0,,,,,,,,,,,,,,,15.0,14.4,2018
Nevada,MWC,,,,24.0,,,,,,,,,23.0,24.0,22.0,21.0,22.0,20.0,22.0,22.25,2018
Northwestern,Big Ten,20.0,,,,,,,,,,,,,,,,,,20.0,20.0,2018
Notre Dame,ACC,14.0,12.0,5.0,8.0,18.0,,,,25.0,,,,,,,,,,13.0,13.571428571428571,2018
Ohio State,Big Ten,,,,,,,,,,22.0,13.0,18.0,16.0,9.0,15.0,14.0,16.0,21.0,16.0,16.0,2018
Oklahoma,Big 12,,,,,24.0,17.0,12.0,7.0,9.0,6.0,11.0,15.0,18.0,23.0,,,,,13.5,14.136363636363637,2018
Purdue,Big Ten,21.0,16.0,,21.0,17.0,16.0,13.0,12.0,7.0,3.0,3.0,3.0,3.0,7.0,9.0,8.0,10.0,9.0,9.0,10.38888888888889,2018
Rhode Island,A-10,,,,,,,,,,,23.0,21.0,19.0,14.0,18.0,16.0,24.0,,19.0,19.25,2018
Saint Mary's,WCC,22.0,21.0,,,,,,,,,18.0,14.0,12.0,15.0,20.0,20.0,19.0,,19.0,18.0,2018
Seton Hall,Big East,23.0,22.0,24.0,19.0,15.0,22.0,24.0,21.0,15.0,19.0,,,,,,,,,21.5,20.5,2018
TCU,Big 12,,,,20.0,14.0,12.0,8.0,15.0,16.0,25.0,,,,,,,,,15.0,15.625,2018
Tennessee,SEC,,,,,20.0,20.0,20.0,22.0,23.0,21.0,21.0,19.0,14.0,17.0,19.0,17.0,12.0,16.0,19.5,18.7,2018
Texas A&M,SEC,,19.0,10.0,9.0,10.0,9.0,6.0,13.0,,,,,,,,,,24.0,10.0,12.222222222222221,2018
Texas Tech,Big 12,,,22.0,,,21.0,21.0,18.0,8.0,8.0,14.0,10.0,7.0,6.0,7.0,12.0,13.0,6.0,11.0,12.266666666666667,2018
UCLA,Pac-12,18.0,23.0,25.0,23.0,,,,,,,,,,,,,,,23.0,22.4,2018
UNC,ACC,9.0,9.0,11.0,10.0,7.0,4.0,14.0,11.0,18.0,14.0,10.0,17.0,22.0,16.0,10.0,9.0,11.0,14.0,11.0,11.947368421052632,2018
USC,Pac-12,11.0,10.0,18.0,25.0,,,,,,,,,,,,,,,14.5,15.7,2018
Villanova,Big East,6.0,3.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,3.0,1.0,1.5,2.289473684210526,2018
Virginia,ACC,,25.0,15.0,12.0,16.0,14.0,9.0,8.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,5.0,3.0,6.944444444444445,2018
West Virginia,Big 12,10.0,20.0,19.0,16.0,11.0,10.0,7.0,5.0,2.0,7.0,7.0,11.0,17.0,20.0,21.0,19.0,18.0,13.0,12.0,12.894736842105264,2018
Wichita State,AAC,8.0,6.0,8.0,6.0,3.0,11.0,10.0,9.0,5.0,4.0,16.0,16.0,21.0,18.0,12.0,11.0,14.0,25.0,10.5,11.236842105263158,2018
Xavier,Big East,17.0,14.0,20.0,14.0,9.0,8.0,5.0,4.0,10.0,12.0,9.0,6.0,5.0,4.0,4.0,4.0,2.0,8.0,8.0,8.578947368421053,2018
