school,conference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,median,mean,year
Arizona,Pac-12,10.0,10.0,10.0,14.0,12.0,12.0,8.0,7.0,6.0,16.0,11.0,15.0,20.0,14.0,12.0,10.0,16.0,13.0,16.0,22.0,12.0,12.666666666666666,2016
Baylor,Big 12,21.0,21.0,25.0,23.0,15.0,14.0,22.0,21.0,25.0,22.0,15.0,18.0,13.0,19.0,22.0,16.0,17.0,20.0,18.0,24.0,20.5,19.595238095238095,2016
Butler,Big East,22.0,20.0,,25.0,21.0,18.0,12.0,10.0,19.0,23.0,24.0,,,,,,,,,,20.5,19.5,2016
California,Pac-12,14.0,14.0,13.0,,,,,,,,,,,,,,25.0,24.0,23.0,,18.5,18.785714285714285,2016
Cincinnati,AAC,,,24.0,17.0,22.0,20.0,21.0,23.0,,,,,,,,,,,,,21.5,21.214285714285715,2016
Dayton,A-10,,,,,,,,,,,,,24.0,17.0,13.0,22.0,,,,,19.5,19.1,2016
Duke,ACC,4.0,4.0,3.0,5.0,5.0,6.0,10.0,12.0,10.0,6.0,12.0,20.0,,,19.0,18.0,21.0,21.0,20.0,18.0,11.0,11.842105263157896,2016
George Washington,A-10,,,,,,22.0,20.0,,,,,,,,,,,,,,21.0,21.0,2016
Gonzaga,WCC,11.0,12.0,11.0,12.0,17.0,21.0,24.0,24.0,22.0,21.0,,,,,,,,,,21.0,21.0,18.083333333333332,2016
Indiana,Big Ten,15.0,15.0,14.0,,,,,,,25.0,23.0,17.0,21.0,22.0,21.0,15.0,11.0,10.0,12.0,9.0,15.0,16.333333333333332,2016
Iowa,Big Ten,,,,,,,,,23.0,19.0,9.0,4.0,7.0,5.0,6.0,8.0,15.0,18.0,24.0,25.0,12.0,13.461538461538462,2016
Iowa State,Big 12,7.0,7.0,5.0,4.0,2.0,2.0,9.0,9.0,14.0,18.0,21.0,16.0,14.0,15.0,15.0,17.0,20.0,19.0,19.0,15.0,14.5,12.5,2016
Kansas,Big 12,5.0,5.0,7.0,6.0,7.0,5.0,3.0,3.0,2.0,1.0,3.0,3.0,6.0,6.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.5714285714285716,2016
Kentucky,SEC,1.0,1.0,1.0,1.0,4.0,4.0,11.0,11.0,8.0,13.0,19.0,19.0,19.0,21.0,14.0,14.0,19.0,16.0,13.0,16.0,13.0,11.333333333333334,2016
LSU,SEC,19.0,19.0,17.0,,,,,,,,,,,,,,,,,,19.0,18.5,2016
Louisville,ACC,,,,22.0,19.0,17.0,15.0,18.0,16.0,20.0,16.0,14.0,18.0,,,,,,,,17.5,17.5,2016
Maryland,Big Ten,3.0,3.0,2.0,2.0,9.0,7.0,4.0,4.0,3.0,3.0,5.0,7.0,3.0,2.0,5.0,9.0,12.0,15.0,17.0,13.0,4.5,6.309523809523809,2016
Miami (FL),ACC,,,19.0,21.0,20.0,19.0,16.0,15.0,11.0,9.0,14.0,13.0,15.0,11.0,10.0,11.0,7.0,11.0,11.0,8.0,12.0,13.31578947368421,2016
Michigan,Big Ten,,25.0,,,,,,,,,,,,,,,,,,,25.0,25.0,2016
Michigan State,Big Ten,13.0,13.0,4.0,3.0,1.0,1.0,1.0,1.0,5.0,4.0,10.0,11.0,10.0,9.0,9.0,7.0,3.0,3.0,2.0,7.0,4.5,5.785714285714286,2016
Notre Dame,ACC,18.0,18.0,18.0,,,,,,,,,,,,18.0,20.0,,,,17.0,18.0,18.142857142857142,2016
Oklahoma,Big 12,8.0,8.0,6.0,8.0,8.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,4.0,6.0,6.0,7.0,4.0,3.5,4.261904761904762,2016
Oregon,Pac-12,,,23.0,16.0,23.0,,,,,,,24.0,17.0,12.0,17.0,13.0,10.0,9.0,4.0,6.0,14.5,14.5,2016
Pitt,ACC,,,,,,,,25.0,21.0,17.0,20.0,23.0,,,,,,,,,21.0,21.166666666666668,2016
Providence,Big East,,,,24.0,18.0,14.0,14.0,13.0,9.0,12.0,17.0,10.0,11.0,18.0,20.0,24.0,,,,,14.0,15.571428571428571,2016
Purdue,Big Ten,24.0,23.0,15.0,11.0,11.0,8.0,13.0,14.0,18.0,24.0,22.0,21.0,16.0,16.0,16.0,19.0,13.0,13.0,10.0,19.0,16.0,16.285714285714285,2016
SMU,AAC,,,,,,,,,,,,,,,,,,,,,,,2016
Saint Mary's,WCC,,,,,,,,,,,,,25.0,,,,24.0,23.0,,,24.0,24.0,2016
Seton Hall,Big East,,,,,,,,,,,,,,,,,,,21.0,,21.0,21.0,2016
South Carolina,SEC,,,,,,25.0,23.0,20.0,20.0,15.0,18.0,22.0,23.0,20.0,23.0,,,,,,21.0,20.90909090909091,2016
St. Joseph's,A-10,,,,,,,,,,,,,,,,,,,25.0,,25.0,25.0,2016
Syracuse,ACC,,,,19.0,,,,,,,,,,,,,,,,10.0,14.5,14.5,2016
Texas,Big 12,,,,,,,,,,,,,,25.0,25.0,25.0,22.0,22.0,22.0,,23.5,23.5,2016
Texas A&M,SEC,,,,20.0,25.0,24.0,19.0,19.0,17.0,14.0,8.0,5.0,8.0,13.0,24.0,21.0,18.0,17.0,15.0,12.0,17.0,16.444444444444443,2016
UCLA,Pac-12,,,,,,,,,,,,,,,,,,,,,,,2016
UConn,AAC,24.0,24.0,21.0,,,,,,24.0,,,,,,,,,,,,24.0,23.4,2016
UNC,ACC,1.0,1.0,8.0,9.0,3.0,11.0,7.0,8.0,7.0,5.0,2.0,1.0,1.0,8.0,4.0,6.0,8.0,7.0,3.0,2.0,5.5,5.119047619047619,2016
USC,Pac-12,,,,,,,,,,,25.0,,,23.0,,,,,,,24.0,24.0,2016
Utah,Pac-12,16.0,16.0,,,24.0,,,22.0,,,,,,,,23.0,13.0,12.0,13.0,20.0,16.0,17.5,2016
Vanderbilt,SEC,20.0,17.0,16.0,13.0,16.0,23.0,25.0,,,,,,,,,,,,,,17.0,18.375,2016
Villanova,Big East,9.0,8.0,9.0,7.0,6.0,13.0,17.0,16.0,13.0,7.0,4.0,6.0,4.0,1.0,1.0,1.0,2.0,2.0,6.0,1.0,6.0,6.619047619047619,2016
Virginia,ACC,6.0,6.0,12.0,10.0,10.0,9.0,5.0,5.0,4.0,11.0,13.0,12.0,9.0,7.0,8.0,3.0,4.0,4.0,5.0,5.0,6.5,7.357142857142857,2016
West Virginia,Big 12,23.0,22.0,22.0,15.0,14.0,16.0,18.0,17.0,15.0,10.0,7.0,9.0,12.0,10.0,11.0,12.0,9.0,8.0,8.0,14.0,13.0,13.571428571428571,2016
Wichita State,MVC,12.0,11.0,20.0,,,,,,,,,25.0,22.0,24.0,,,23.0,,,,22.0,19.875,2016
Wisconsin,Big Ten,17.0,,,,,,,,,,,,,,,,,25.0,,23.0,23.0,22.0,2016
Xavier,Big East,,,,18.0,13.0,10.0,6.0,6.0,12.0,8.0,6.0,8.0,5.0,4.0,7.0,5.0,5.0,5.0,9.0,10.0,7.0,8.0,2016
