school,conference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,median,mean,year
Middle Tennessee,CUSA,,,,,,,,,,,,,,,,,,25.0,25.0,,25.0,25.0,2017
Minnesota,Big Ten,,,,,,,,,,24.0,,,,,,,,,,,24.0,24.0,2017
Northwestern,Big Ten,,,,,,,,,,,,,,,,,,,,,,,2017
Notre Dame,ACC,,,,,22.0,21.0,24.0,24.0,21.0,20.0,15.0,12.0,18.0,24.0,20.0,17.0,13.0,16.0,14.0,20.0,20.0,18.88235294117647,2017
Oregon,Pac-12,5.0,4.0,12.0,20.0,24.0,22.0,21.0,21.0,14.0,11.0,10.0,10.0,13.0,6.0,8.0,7.0,6.0,5.0,9.0,3.0,10.0,11.476190476190476,2017
Purdue,Big Ten,15.0,15.0,19.0,16.0,19.0,16.0,15.0,15.0,20.0,19.0,22.0,20.0,24.0,18.0,16.0,14.0,16.0,12.0,15.0,15.0,16.0,17.0,2017
Rhode Island,A-10,24.0,22.0,25.0,25.0,,,,,,,,,,,,,,,,,24.5,24.1,2017
SMU,AAC,,,,,,,,,,,,,,,23.0,21.0,19.0,15.0,13.0,23.0,20.0,19.142857142857142,2017
Saint Mary's,WCC,19.0,17.0,15.0,13.0,11.0,20.0,19.0,19.0,19.0,21.0,23.0,21.0,19.0,20.0,21.0,18.0,18.0,19.0,21.0,,19.0,18.6,2017
South Carolina,SEC,,,,23.0,18.0,15.0,20.0,25.0,,,24.0,24.0,20.0,16.0,19.0,,,,,6.0,20.0,19.166666666666668,2017
Syracuse,ACC,17.0,18.0,16.0,24.0,,,,,,,,,,,,,,,,,17.5,18.5,2017
Texas,Big 12,22.0,21.0,21.0,,,,,,,,,,,,,,,,,,21.0,21.25,2017
UCLA,Pac-12,20.0,16.0,13.0,9.0,2.0,2.0,2.0,2.0,5.0,4.0,3.0,7.0,8.0,9.0,5.0,5.0,2.0,2.0,6.0,9.0,5.0,6.476190476190476,2017
UConn,AAC,16.0,,,,,,,,,,,,,,,,,,,,16.0,16.0,2017
UNC,ACC,6.0,6.0,4.0,3.0,5.0,6.0,8.0,10.0,16.0,12.0,9.0,6.0,10.0,7.0,9.0,8.0,5.0,6.0,8.0,1.0,6.5,7.214285714285714,2017
USC,Pac-12,,,,,,25.0,25.0,22.0,,25.0,,,,,,,,,,,25.0,24.4,2017
Villanova,Big East,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,8.0,2.0,2.238095238095238,2017
Virginia,ACC,7.0,7.0,6.0,6.0,12.0,12.0,10.0,11.0,12.0,18.0,16.0,13.0,11.0,13.0,15.0,19.0,23.0,21.0,23.0,,12.0,13.35,2017
Virginia Tech,ACC,,,,,,,,,23.0,,,,,,,,,,,,23.0,23.0,2017
West Virginia,Big 12,18.0,19.0,17.0,19.0,16.0,13.0,12.0,12.0,7.0,9.0,8.0,18.0,12.0,14.0,12.0,13.0,10.0,11.0,12.0,11.0,12.0,13.095238095238095,2017
Wichita State,MVC,,,,,,,,,,,,,,,,25.0,22.0,22.0,19.0,21.0,22.0,21.833333333333332,2017
Wisconsin,Big Ten,10.0,11.0,14.0,17.0,17.0,14.0,14.0,14.0,11.0,17.0,17.0,15.0,9.0,5.0,10.0,15.0,21.0,23.0,22.0,16.0,14.5,14.595238095238095,2017
Xavier,Big East,8.0,10.0,8.0,7.0,14.0,17.0,17.0,17.0,15.0,14.0,19.0,22.0,25.0,25.0,,,,,,18.0,17.0,15.8125,2017
