school,conference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,median,mean,year
Arizona,Pac-12,11.0,9.0,9.0,15.0,20.0,19.0,18.0,18.0,17.0,16.0,13.0,9.0,5.0,10.0,6.0,4.0,8.0,7.0,4.0,7.0,9.5,11.166666666666666,2017
Baylor,Big 12,,,,11.0,6.0,5.0,6.0,4.0,3.0,1.0,6.0,5.0,3.0,8.0,4.0,9.0,11.0,10.0,11.0,12.0,6.0,6.722222222222222,2017
Butler,Big East,,,,18.0,15.0,18.0,13.0,13.0,18.0,13.0,14.0,11.0,15.0,21.0,25.0,22.0,15.0,20.0,24.0,19.0,18.0,17.333333333333332,2017
California,Pac-12,,,,,,,,,,,,,,,,,,,,,,,2017
Cincinnati,AAC,25.0,25.0,,,23.0,24.0,23.0,23.0,22.0,22.0,20.0,19.0,14.0,11.0,17.0,16.0,20.0,18.0,16.0,22.0,21.0,20.05263157894737,2017
Creighton,Big East,23.0,20.0,18.0,12.0,10.0,10.0,9.0,9.0,10.0,8.0,7.0,16.0,22.0,23.0,22.0,23.0,,,,,14.0,15.058823529411764,2017
Duke,ACC,1.0,1.0,3.0,4.0,4.0,4.0,4.0,5.0,8.0,7.0,18.0,17.0,21.0,19.0,14.0,11.0,14.0,14.0,7.0,13.0,7.5,9.357142857142858,2017
Florida,SEC,,,,,21.0,,,,24.0,23.0,21.0,25.0,23.0,17.0,13.0,12.0,12.0,13.0,17.0,10.0,17.0,17.714285714285715,2017
Florida State,ACC,,,,,,23.0,22.0,20.0,13.0,10.0,12.0,8.0,16.0,15.0,18.0,20.0,17.0,17.0,18.0,24.0,17.0,16.875,2017
Gonzaga,WCC,13.0,14.0,11.0,8.0,8.0,8.0,7.0,6.0,4.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,2.0,4.0,5.285714285714286,2017
Indiana,Big Ten,12.0,5.0,5.0,10.0,9.0,9.0,16.0,16.0,25.0,,,,,,,,,,,,10.0,11.7,2017
Iowa State,Big 12,,23.0,22.0,21.0,25.0,,,,,,,,,,,,24.0,24.0,20.0,25.0,23.5,23.055555555555557,2017
Kansas,Big 12,2.0,8.0,6.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,4.0,3.0,2.9047619047619047,2017
Kansas State,Big 12,,,,,,,,,,,,,,,,,,,,,,,2017
Kentucky,SEC,4.0,2.0,1.0,1.0,7.0,7.0,5.0,8.0,6.0,6.0,5.0,4.0,6.0,12.0,11.0,10.0,9.0,8.0,5.0,5.0,6.0,6.095238095238095,2017
Louisville,ACC,14.0,12.0,10.0,14.0,13.0,11.0,11.0,7.0,9.0,15.0,11.0,14.0,7.0,4.0,7.0,6.0,7.0,9.0,10.0,14.0,10.5,10.261904761904763,2017
Maryland,Big Ten,21.0,24.0,23.0,22.0,,,,,,,25.0,23.0,17.0,22.0,24.0,24.0,,,,,23.0,22.545454545454547,2017
Miami (FL),ACC,,,,,,,,,,,,,,,,,25.0,,,,25.0,25.0,2017
Michigan,Big Ten,,,24.0,,,,,,,,,,,,,,,,,17.0,20.5,20.5,2017
Michigan State,Big Ten,9.0,13.0,20.0,,,,,,,,,,,,,,,,,,13.0,13.75,2017
