school,conference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,median,mean,year
Arizona,Pac-12,5.0,5.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,3.0,2.727272727272727,2014
Baylor,Big 12,,25.0,21.0,17.0,20.0,18.0,15.0,12.0,11.0,9.0,13.0,23.0,,,,,,,,,18.0,17.5,16.884615384615383,2014
Cincinnati,AAC,,,,,,,,,,,23.0,16.0,15.0,7.0,11.0,9.0,12.0,15.0,12.0,14.0,22.0,14.0,14.166666666666666,2014
Colorado,Pac-12,,,,,,,24.0,24.0,24.0,17.0,22.0,,,,,,,,,,,24.0,22.5,2014
Creighton,Big East,,,23.0,18.0,,,,,,23.0,19.0,24.0,20.0,12.0,17.0,12.0,10.0,13.0,14.0,16.0,20.0,17.5,17.233333333333334,2014
Dayton,A-10,,,,,,,,,,,,,,,,,,,,,19.0,19.0,19.0,2014
Duke,ACC,4.0,4.0,6.0,5.0,8.0,7.0,8.0,9.0,8.0,13.0,20.0,18.0,16.0,11.0,9.0,6.0,7.0,4.0,6.0,6.0,16.0,8.0,9.045454545454545,2014
Florida,SEC,8.0,10.0,14.0,13.0,12.0,19.0,17.0,14.0,13.0,11.0,7.0,6.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,7.0,7.818181818181818,2014
Gonzaga,WCC,14.0,15.0,12.0,10.0,15.0,16.0,15.0,21.0,21.0,18.0,23.0,21.0,24.0,20.0,24.0,22.0,,,,,,19.0,18.235294117647058,2014
Illinois,Big Ten,,,,,,,,,,,,,,,,,,,,,,,,2014
Indiana,Big Ten,24.0,23.0,22.0,25.0,23.0,,,,,,,,,,,,,,,,,23.0,23.333333333333332,2014
Iowa,Big Ten,,,25.0,23.0,24.0,22.0,,23.0,23.0,23.0,16.0,10.0,12.0,13.0,15.0,15.0,19.0,25.0,,,,22.0,19.375,2014
Iowa State,Big 12,,,,22.0,18.0,16.0,13.0,13.0,12.0,7.0,10.0,17.0,18.0,17.0,14.0,19.0,17.0,17.0,16.0,9.0,11.0,16.0,14.842105263157896,2014
Kansas,Big 12,6.0,6.0,3.0,2.0,7.0,13.0,19.0,16.0,17.0,20.0,18.0,11.0,7.0,9.0,7.0,8.0,6.0,8.0,10.0,10.0,14.0,9.0,10.272727272727273,2014
Kansas State,Big 12,,,,,,,,,,,,,,,,,,,,,,,,2014
Kentucky,SEC,1.0,1.0,5.0,4.0,4.0,10.0,21.0,18.0,16.0,16.0,12.0,14.0,11.0,14.0,13.0,16.0,15.0,24.0,,22.0,2.0,13.5,12.023809523809524,2014
Louisville,AAC,3.0,3.0,2.0,9.0,6.0,4.0,4.0,4.0,10.0,8.0,14.0,9.0,7.0,10.0,8.0,5.0,4.0,9.0,5.0,3.0,9.0,6.0,6.454545454545454,2014
Marquette,Big East,17.0,17.0,,,,,,,,,,,,,,,,,,,,17.0,17.0,2014
Memphis,AAC,13.0,13.0,11.0,19.0,15.0,15.0,14.0,17.0,18.0,22.0,17.0,22.0,22.0,,22.0,24.0,22.0,20.0,19.0,,,18.5,18.07894736842105,2014
Michigan,Big Ten,9.0,8.0,13.0,20.0,21.0,25.0,,,,,,25.0,14.0,16.0,18.0,20.0,16.0,12.0,9.0,8.0,6.0,15.0,15.0,2014
Michigan State,Big Ten,2.0,2.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,6.0,8.0,10.0,14.0,18.0,22.0,22.0,13.0,8.0,5.0,7.409090909090909,2014
Missouri,SEC,,,,,,,25.0,25.0,25.0,21.0,,,,,,,,,,,,25.0,24.2,2014
New Mexico,MWC,20.0,21.0,20.0,,,,,,,,,,,,,,,21.0,20.0,17.0,,20.0,19.857142857142858,2014
Notre Dame,ACC,22.0,22.0,,,,,,,,,,,,,,,,,,,,22.0,22.0,2014
Ohio State,Big Ten,10.0,9.0,8.0,6.0,3.0,2.0,2.0,3.0,3.0,3.0,9.0,15.0,23.0,25.0,20.0,23.0,20.0,,24.0,24.0,,9.0,12.05,2014
Oklahoma,Big 12,,,,,,,,,,,,25.0,25.0,23.0,25.0,,25.0,23.0,18.0,20.0,,24.0,23.11111111111111,2014
Oklahoma State,Big 12,12.0,12.0,9.0,8.0,11.0,9.0,7.0,7.0,6.0,12.0,8.0,13.0,10.0,19.0,,,,,,,,9.5,10.166666666666666,2014
Oregon,Pac-12,18.0,18.0,17.0,15.0,13.0,11.0,11.0,10.0,9.0,13.0,,,,,,,,,,,,13.0,13.454545454545455,2014
Pitt,ACC,,,,,,,,,,,21.0,19.0,17.0,22.0,23.0,,,,,,,21.0,20.5,2014
SMU,AAC,,,,,,,,,,,,,,,,,24.0,18.0,23.0,,,23.0,22.0,2014
Saint Louis,A-10,,,,,,,,,,,,20.0,21.0,15.0,12.0,10.0,8.0,16.0,17.0,21.0,25.0,16.5,16.5,2014
San Diego State,MWC,,,,,,24.0,23.0,20.0,19.0,15.0,11.0,7.0,5.0,5.0,5.0,7.0,13.0,10.0,7.0,11.0,12.0,11.0,12.058823529411764,2014
Stanford,Pac-12,,,,,,,,,,,,,,,,,,,,,24.0,24.0,24.0,2014
Syracuse,ACC,7.0,7.0,7.0,7.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,7.0,11.0,12.0,17.0,3.0,4.909090909090909,2014
Tennessee,SEC,,,,,,,,,,,,,,,,,,,,,23.0,23.0,23.0,2014
Texas,Big 12,,,,,,,,,,,,,,18.0,19.0,17.0,23.0,,,,,18.5,19.1,2014
UCLA,Pac-12,23.0,24.0,24.0,21.0,17.0,23.0,22.0,,,25.0,25.0,,,,,25.0,,,,23.0,15.0,23.0,22.307692307692307,2014
UConn,AAC,19.0,20.0,18.0,14.0,14.0,12.0,10.0,15.0,15.0,,,,,,,21.0,,19.0,21.0,19.0,1.0,16.5,15.633333333333333,2014
UMass,A-10,,,,,22.0,20.0,20.0,22.0,22.0,19.0,15.0,12.0,19.0,,,,,,,,,20.0,19.1,2014
UNC,ACC,11.0,11.0,19.0,16.0,25.0,21.0,18.0,19.0,19.0,,,,,,,,21.0,14.0,15.0,18.0,21.0,18.5,17.766666666666666,2014
VCU,A-10,15.0,14.0,10.0,24.0,,,,,,,,,,,,,,,25.0,25.0,,19.5,18.928571428571427,2014
Villanova,Big East,,,,,19.0,14.0,12.0,11.0,14.0,10.0,6.0,5.0,9.0,6.0,6.0,11.0,9.0,6.0,3.0,7.0,13.0,9.0,9.444444444444445,2014
Virginia,ACC,25.0,25.0,,,,,,,,,,,,21.0,16.0,13.0,11.0,5.0,8.0,4.0,10.0,12.0,13.636363636363637,2014
Wichita State,MVC,16.0,16.0,16.0,12.0,10.0,8.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,7.0,6.0,6.7272727272727275,2014
Wisconsin,Big Ten,21.0,19.0,15.0,11.0,9.0,6.0,6.0,6.0,5.0,4.0,3.0,8.0,13.0,24.0,21.0,18.0,14.0,11.0,13.0,15.0,4.0,11.0,11.681818181818182,2014
