rank,conference,schls,w,l,w-l%,srs,sos,ap,ncaa,ff,regular_season_champ,tournament_champ,year
1,Big 12 Conference,10,188,125,0.601,14.4,10.02,1,0,0,Kansas,,2020
2,Pac-12 Conference,12,226,152,0.598,11.47,7.66,0,0,0,Oregon,,2020
3,West Coast Conference,10,191,136,0.584,5.79,3.33,1,0,0,Gonzaga,Gonzaga,2020
4,Big East Conference,10,195,117,0.625,13.66,9.19,1,0,0,"Creighton, Seton Hall, Villanova",,2020
5,Big Ten Conference,14,255,181,0.585,15.12,10.49,1,0,0,"Maryland, Michigan State, Wisconsin",,2020
6,Southeastern Conference,14,254,183,0.581,10.76,7.36,0,0,0,Kentucky,,2020
7,Atlantic 10 Conference,14,244,189,0.564,4.73,2.69,0,0,0,Dayton,,2020
8,Mid-American Conference,12,211,169,0.555,0.14,-0.51,0,0,0,"Akron (East), Ball State (West), Northern Illinois (West)",,2020
9,Missouri Valley Conference,10,177,147,0.546,1.95,0.96,0,0,0,Northern Iowa,Bradley,2020
10,American Athletic Conference,12,213,155,0.579,8.1,4.75,0,0,0,"Cincinnati, Houston, Tulsa",,2020
11,Big Sky Conference,11,174,168,0.509,-3.07,-2.08,0,0,0,Eastern Washington,,2020
12,Atlantic Coast Conference,15,276,197,0.584,11.06,7.73,0,0,0,Florida State,,2020
13,Colonial Athletic Association,10,168,156,0.519,-3.06,-2.43,0,0,0,Hofstra,Hofstra,2020
14,Southern Conference,10,178,147,0.548,-1.62,-1.73,0,0,0,East Tennessee State,East Tennessee State,2020
15,Mountain West Conference,11,190,162,0.54,5.24,4.02,0,0,0,San Diego State,Utah State,2020
16,Sun Belt Conference,12,197,185,0.516,-0.78,-0.34,0,0,0,Little Rock,,2020
17,Conference USA,14,225,213,0.514,-0.24,-0.1,0,0,0,North Texas,,2020
18,Ohio Valley Conference,12,180,202,0.471,-7.62,-5.54,0,0,0,"Belmont, Murray State",Belmont,2020
19,Southland Conference,13,188,214,0.468,-9.42,-5.92,0,0,0,Stephen F. Austin,,2020
20,Patriot League,10,153,166,0.48,-7.35,-5.55,0,0,0,Colgate,Boston University,2020
21,Ivy League,8,114,112,0.504,-2.15,-1.77,0,0,0,Yale,,2020
22,Northeast Conference,11,159,189,0.457,-9.04,-6.32,0,0,0,Merrimack,Robert Morris,2020
23,Western Athletic Conference,9,130,141,0.48,-7.12,-4.05,0,0,0,New Mexico State,,2020
24,Metro Atlantic Athletic Conference,11,157,180,0.466,-6.83,-5.64,0,0,0,Siena,,2020
25,Big South Conference,11,166,189,0.468,-9.86,-6.81,0,0,0,"Radford, Winthrop",Winthrop,2020
26,America East Conference,9,141,145,0.493,-6.96,-5.06,0,0,0,Vermont,,2020
27,Big West Conference,9,134,148,0.475,-4.26,-1.87,0,0,0,UC Irvine,,2020
28,Summit League,9,141,142,0.498,-4.29,-2.68,0,0,0,"North Dakota State, South Dakota State",North Dakota State,2020
29,Mid-Eastern Athletic Conference,11,131,208,0.386,-14.34,-8.36,0,0,0,North Carolina Central,,2020
30,Atlantic Sun Conference,9,130,155,0.456,-7.85,-4.83,0,0,0,"Liberty, North Florida",Liberty,2020
31,Horizon League,10,153,171,0.472,-6.04,-3.7,0,0,0,Wright State,Northern Kentucky,2020
32,Southwest Athletic Conference,10,122,190,0.391,-14.97,-8.14,0,0,0,Prairie View,,2020
